Address,City,Province,Country,Postal Code,Latitude,Longitude
64 Aspen Forest Point,Winnipeg,MB,Canada,,,
38 Lake Forest Road,Winnipeg,MB,Canada,,,
15 Prominence Point,Winnipeg,MB,Canada,,,
31 Prominence Point,Winnipeg,MB,Canada,,,
51 Prominence Point,Winnipeg,MB,Canada,,,
54 Prominence Point,Winnipeg,MB,Canada,,,
58 Prominence Point,Winnipeg,MB,Canada,,,
27 Clovercrest Bay,Winnipeg,MB,Canada,,,
107 Bridlewood Road,Winnipeg,MB,Canada,,,
2 Ashgrove Point,Winnipeg,MB,Canada,,,
15 Edington Point,Winnipeg,MB,Canada,,,
19 Edington Point,Winnipeg,MB,Canada,,,
31 Forest Creek Road,Winnipeg,MB,Canada,,,
53 Oak Lawn Road,Winnipeg,MB,Canada,,,
65 Oak Lawn Road,Winnipeg,MB,Canada,,,
85 Oak Lawn Road,Winnipeg,MB,Canada,,,
233 Oak Lawn Road,Winnipeg,MB,Canada,,,
124 North Town Road,Winnipeg,MB,Canada,,,
176 North Town Road,Winnipeg,MB,Canada,,,
520 Bridgeland Drive North,Winnipeg,MB,Canada,,,
127 Park Valley Road,Winnipeg,MB,Canada,,,
145 Park Valley Road,Winnipeg,MB,Canada,,,
149 Park Valley Road,Winnipeg,MB,Canada,,,
153 Park Valley Road,Winnipeg,MB,Canada,,,
159 Park Valley Road,Winnipeg,MB,Canada,,,
169 Park Valley Road,Winnipeg,MB,Canada,,,
185 Park Valley Road,Winnipeg,MB,Canada,,,
58 Highland Creek Road,Winnipeg,MB,Canada,,,
125 Highland Creek Road,Winnipeg,MB,Canada,,,
157 Highland Creek Road,Winnipeg,MB,Canada,,,
184 Highland Creek Road,Winnipeg,MB,Canada,,,
188 Highland Creek Road,Winnipeg,MB,Canada,,,
202 Highland Creek Road,Winnipeg,MB,Canada,,,
210 Highland Creek Road,Winnipeg,MB,Canada,,,
15 Stradwick Point,Winnipeg,MB,Canada,,,
19 Stradwick Point,Winnipeg,MB,Canada,,,
23 Stradwick Point,Winnipeg,MB,Canada,,,
21 Hunterbrook Road,Winnipeg,MB,Canada,,,
43 Hunterbrook Road,Winnipeg,MB,Canada,,,
55 Poplar Point,Winnipeg,MB,Canada,,,
107 Maple Creek Road,Winnipeg,MB,Canada,,,
27 Hill Grove Point,Winnipeg,MB,Canada,,,
65 Hill Grove Point,Winnipeg,MB,Canada,,,
69 Hill Grove Point,Winnipeg,MB,Canada,,,
97 Hill Grove Point,Winnipeg,MB,Canada,,,
51 Deer Ridge Bay,Winnipeg,MB,Canada,,,
112 Creekside Road,Winnipeg,MB,Canada,,,
116 Creekside Road,Winnipeg,MB,Canada,,,
22 Willowbrook Road,Winnipeg,MB,Canada,,,
56 Willowbrook Road,Winnipeg,MB,Canada,,,
5 Sandwalk Court,Winnipeg,MB,Canada,,,
29 Sandwalk Court,Winnipeg,MB,Canada,,,
6 Montpelier Point,Winnipeg,MB,Canada,,,
10 Montpelier Point,Winnipeg,MB,Canada,,,
14 Montpelier Point,Winnipeg,MB,Canada,,,
21 Baygrove Point,Winnipeg,MB,Canada,,,
41 Baygrove Point,Winnipeg,MB,Canada,,,
39 Pebble Creek Gate,Winnipeg,MB,Canada,,,
39 Bridge Lake Drive,Winnipeg,MB,Canada,,,
59 Bridge Lake Drive,Winnipeg,MB,Canada,,,
539 Bridge Lake Drive,Winnipeg,MB,Canada,,,
75 Rose Garden Crescent,Winnipeg,MB,Canada,,,
87 Rose Garden Crescent,Winnipeg,MB,Canada,,,
14 Birchleaf Point,Winnipeg,MB,Canada,,,
72 Eagleview Road,Winnipeg,MB,Canada,,,
118 Lake Bend Road,Winnipeg,MB,Canada,,,
130 Lake Bend Road,Winnipeg,MB,Canada,,,
206 Lake Bend Road,Winnipeg,MB,Canada,,,
220 Lake Bend Road,Winnipeg,MB,Canada,,,
27 Water Bend Road,Winnipeg,MB,Canada,,,
59 Water Bend Road,Winnipeg,MB,Canada,,,
63 Water Bend Road,Winnipeg,MB,Canada,,,
67 Water Bend Road,Winnipeg,MB,Canada,,,
79 Water Bend Road,Winnipeg,MB,Canada,,,
187 Red Spruce Road,Winnipeg,MB,Canada,,,
70 Willow Creek Road,Winnipeg,MB,Canada,,,
89 Willow Creek Road,Winnipeg,MB,Canada,,,
332 Willow Creek Road,Winnipeg,MB,Canada,,,
19 Bramblewood Court,Winnipeg,MB,Canada,,,
89 Cherrywood Road,Winnipeg,MB,Canada,,,
56 Glenn Ivy Court,Winnipeg,MB,Canada,,,
155 Appleford Gate,Winnipeg,MB,Canada,,,
100 Rose Lake Court,Winnipeg,MB,Canada,,,
101 Rose Lake Court,Winnipeg,MB,Canada,,,
112 Rose Lake Court,Winnipeg,MB,Canada,,,
116 Rose Lake Court,Winnipeg,MB,Canada,,,
145 Rose Lake Court,Winnipeg,MB,Canada,,,
31 Valleybrook Road,Winnipeg,MB,Canada,,,
119 Valleybrook Road,Winnipeg,MB,Canada,,,
131 Valleybrook Road,Winnipeg,MB,Canada,,,
167 Valleybrook Road,Winnipeg,MB,Canada,,,
39 Windflower Road,Winnipeg,MB,Canada,,,
312 Windflower Road,Winnipeg,MB,Canada,,,
12 Elm Forest Court,Winnipeg,MB,Canada,,,
31 Bakersfield Court,Winnipeg,MB,Canada,,,
67 Bakersfield Court,Winnipeg,MB,Canada,,,
40 Kingfisher Crescent,Winnipeg,MB,Canada,,,
95 Kingfisher Crescent,Winnipeg,MB,Canada,,,
2 Greyhawk Cove,Winnipeg,MB,Canada,,,
19 Goldfinch Way,Winnipeg,MB,Canada,,,
51 Brookstone Place,Winnipeg,MB,Canada,,,
96 Brookstone Place,Winnipeg,MB,Canada,,,
106 Brookstone Place,Winnipeg,MB,Canada,,,
8 Cypress Ridge,Winnipeg,MB,Canada,,,
26 Cypress Ridge,Winnipeg,MB,Canada,,,
64 Cypress Ridge,Winnipeg,MB,Canada,,,
6 Vestford Place,Winnipeg,MB,Canada,,,
236 Southview Crescent,Winnipeg,MB,Canada,,,
67 Autumnview Drive,Winnipeg,MB,Canada,,,
87 Autumnview Drive,Winnipeg,MB,Canada,,,
93 Autumnview Drive,Winnipeg,MB,Canada,,,
121 Autumnview Drive,Winnipeg,MB,Canada,,,
157 Autumnview Drive,Winnipeg,MB,Canada,,,
177 Autumnview Drive,Winnipeg,MB,Canada,,,
6 Kittiwake Place,Winnipeg,MB,Canada,,,
16 Kittiwake Place,Winnipeg,MB,Canada,,,
30 Kittiwake Place,Winnipeg,MB,Canada,,,
62 Yorkvalley Way,Winnipeg,MB,Canada,,,
19 Switch Grass Cove,Winnipeg,MB,Canada,,,
84 Waterstone Drive,Winnipeg,MB,Canada,,,
14 Westwind Place,Winnipeg,MB,Canada,,,
59 Loewen Place,Winnipeg,MB,Canada,,,
21 Fairbairn Bay,Winnipeg,MB,Canada,,,
37 Fairbairn Bay,Winnipeg,MB,Canada,,,
55 Turnstone Terrace,Winnipeg,MB,Canada,,,
34 Barkwood Bay,Winnipeg,MB,Canada,,